tic,date,gvkeyx,Closing Price,Daily High,Daily Low
I0003,11-04-22,3,4412.53,4464.35,4408.38
I0003,08-04-22,3,4488.28,4520.41,4474.6
I0003,07-04-22,3,4500.21,4521.16,4450.3
I0003,06-04-22,3,4481.15,4503.94,4450.04
I0003,05-04-22,3,4525.12,4593.45,4514.17
I0003,04-04-22,3,4582.64,4583.5,4539.21
I0003,01-04-22,3,4545.86,4548.7,4507.57
I0003,31-03-22,3,4530.41,4603.07,4530.41
I0003,30-03-22,3,4602.45,4627.77,4581.32
I0003,29-03-22,3,4631.6,4637.3,4589.66
I0003,28-03-22,3,4575.52,4575.65,4517.69
I0003,25-03-22,3,4543.06,4546.03,4501.07
I0003,24-03-22,3,4520.16,4520.58,4465.17
I0003,23-03-22,3,4456.24,4501.07,4455.81
I0003,22-03-22,3,4511.61,4522,4469.1
I0003,21-03-22,3,4461.18,4481.75,4424.3
I0003,18-03-22,3,4463.12,4465.4,4390.57
I0003,17-03-22,3,4411.67,4412.67,4335.65
I0003,16-03-22,3,4357.86,4358.9,4251.99
I0003,15-03-22,3,4262.45,4271.05,4187.9
I0003,14-03-22,3,4173.11,4247.57,4161.72
I0003,11-03-22,3,4204.31,4291.01,4200.49
I0003,10-03-22,3,4259.52,4268.28,4209.8
I0003,09-03-22,3,4277.88,4299.4,4223.1
I0003,08-03-22,3,4170.7,4276.94,4157.87
I0003,07-03-22,3,4201.09,4327.01,4199.85
I0003,04-03-22,3,4328.87,4342.12,4284.98
I0003,03-03-22,3,4363.49,4416.78,4345.56
I0003,02-03-22,3,4386.54,4401.48,4322.56
I0003,01-03-22,3,4306.26,4378.45,4279.54
I0003,28-02-22,3,4373.94,4388.84,4315.12
I0003,25-02-22,3,4384.65,4385.34,4286.83
I0003,24-02-22,3,4288.7,4294.73,4114.65
I0003,23-02-22,3,4225.5,4341.51,4221.51
I0003,22-02-22,3,4304.76,4362.12,4267.11
I0003,18-02-22,3,4348.87,4394.6,4327.22
I0003,17-02-22,3,4380.26,4456.06,4373.81
I0003,16-02-22,3,4475.01,4489.55,4429.68
I0003,15-02-22,3,4471.07,4472.77,4429.28
I0003,14-02-22,3,4401.67,4426.22,4364.84
I0003,11-02-22,3,4418.64,4526.33,4401.41
I0003,10-02-22,3,4504.08,4588.92,4484.31
I0003,09-02-22,3,4587.18,4590.03,4547
I0003,08-02-22,3,4521.54,4531.32,4465.4
I0003,07-02-22,3,4483.87,4521.86,4471.47
I0003,04-02-22,3,4500.53,4539.66,4451.5
I0003,03-02-22,3,4477.44,4542.88,4470.39
I0003,02-02-22,3,4589.38,4595.31,4544.32
I0003,01-02-22,3,4546.54,4550.49,4483.53
I0003,31-01-22,3,4515.55,4516.89,4414.02
I0003,28-01-22,3,4431.85,4432.72,4292.46
I0003,27-01-22,3,4326.51,4428.74,4309.5
I0003,26-01-22,3,4349.93,4453.23,4304.8
I0003,25-01-22,3,4356.45,4411.01,4287.11
I0003,24-01-22,3,4410.13,4417.35,4222.62
I0003,21-01-22,3,4397.94,4494.52,4395.34
I0003,20-01-22,3,4482.73,4602.11,4477.95
I0003,19-01-22,3,4532.76,4611.55,4530.2
I0003,18-01-22,3,4577.11,4632.24,4568.7
I0003,14-01-22,3,4662.85,4665.13,4614.75
I0003,13-01-22,3,4659.03,4744.13,4650.29
I0003,12-01-22,3,4726.35,4748.83,4706.71
I0003,11-01-22,3,4713.07,4714.13,4638.27
I0003,10-01-22,3,4670.29,4673.02,4582.24
I0003,07-01-22,3,4677.03,4707.95,4662.74
I0003,06-01-22,3,4696.05,4725.01,4671.26
I0003,05-01-22,3,4700.58,4797.7,4699.44
I0003,04-01-22,3,4793.54,4818.62,4774.27
I0003,03-01-22,3,4796.56,4796.64,4758.17
I0003,31-12-21,3,4766.18,4786.83,4765.75
I0003,30-12-21,3,4778.73,4808.93,4775.33
I0003,29-12-21,3,4793.06,4804.06,4778.08
I0003,28-12-21,3,4786.35,4807.02,4780.04
I0003,27-12-21,3,4791.19,4791.49,4733.99
I0003,23-12-21,3,4725.79,4740.74,4703.96
I0003,22-12-21,3,4696.56,4697.67,4645.53
I0003,21-12-21,3,4649.23,4651.14,4583.16
I0003,20-12-21,3,4568.02,4587.9,4531.1
I0003,17-12-21,3,4620.64,4666.7,4600.22
I0003,16-12-21,3,4668.67,4731.99,4651.89
I0003,15-12-21,3,4709.85,4712.6,4611.22
I0003,14-12-21,3,4634.09,4660.47,4606.52
I0003,13-12-21,3,4668.97,4710.3,4667.6
I0003,10-12-21,3,4712.02,4713.57,4670.24
I0003,09-12-21,3,4667.45,4695.26,4665.98
I0003,08-12-21,3,4701.21,4705.06,4674.52
I0003,07-12-21,3,4686.75,4694.04,4631.97
I0003,06-12-21,3,4591.67,4612.6,4540.51
I0003,03-12-21,3,4538.43,4608.03,4495.12
I0003,02-12-21,3,4577.1,4595.46,4504.73
I0003,01-12-21,3,4513.04,4652.94,4510.27
I0003,30-11-21,3,4567,4646.02,4560
I0003,29-11-21,3,4655.27,4672.95,4625.26
I0003,26-11-21,3,4594.62,4664.63,4585.43
I0003,24-11-21,3,4701.46,4702.87,4659.89
I0003,23-11-21,3,4690.7,4699.39,4652.66
I0003,22-11-21,3,4682.94,4743.83,4682.17
I0003,19-11-21,3,4697.96,4717.75,4694.22
I0003,18-11-21,3,4704.54,4708.8,4672.78
I0003,17-11-21,3,4688.67,4701.5,4684.41
I0003,16-11-21,3,4700.9,4714.95,4679.42
I0003,15-11-21,3,4682.8,4697.42,4672.86
I0003,12-11-21,3,4682.85,4688.47,4650.77
I0003,11-11-21,3,4649.27,4664.55,4648.31
I0003,10-11-21,3,4646.71,4684.85,4630.86
I0003,09-11-21,3,4685.25,4708.53,4670.87
I0003,08-11-21,3,4701.7,4714.92,4694.39
I0003,05-11-21,3,4697.53,4718.5,4681.32
I0003,04-11-21,3,4680.06,4683,4662.59
I0003,03-11-21,3,4660.57,4663.46,4621.19
I0003,02-11-21,3,4630.65,4635.15,4613.34
I0003,01-11-21,3,4613.67,4620.34,4595.06
I0003,29-10-21,3,4605.38,4608.08,4567.59
I0003,28-10-21,3,4596.42,4597.55,4562.84
I0003,27-10-21,3,4551.68,4584.57,4551.66
I0003,26-10-21,3,4574.79,4598.53,4569.17
